rhor,gammahat,xni,xnuc12,rminor,exlti,torvhat,vthexp,vpold,vtord,xmtor1,xnuati,nudrag,vtordhat,y11,y22,xnuc21,xnC,yy1,yy2
8.51E-01,6.26E+19,9.40E+18,372.1331,6.85E-01,9.33E-01,56721.06,-1690,-523,74100,-2.17E-03,2.055546,987.7258,73171.79,2.596421,8.23E-03,14838.27,2.33E+17,928.2075,3.79E+02
8.57E-01,6.60E+19,9.33E+18,376.8399,6.90E-01,9.19E-01,56116.04,-1710,-608,74300,-2.12E-03,2.346838,1051.963,73114.55,2.713756,8.05E-03,15025.9,2.30E+17,1185.451,4.84E+02
8.63E-01,6.79E+19,9.17E+18,377.4141,6.95E-01,9.05E-01,55381.37,-1730,-693,74500,-2.07E-03,3.056806,1104.551,72984.67,2.779253,7.79E-03,15048.76,2.26E+17,1515.33,6.19E+02
8.70E-01,6.99E+19,9.09E+18,380.7774,7.00E-01,8.91E-01,54809.62,-1750,-773,74700,-2.02E-03,3.973948,1151.857,72763.98,2.850668,7.61E-03,15182.82,2.24E+17,1936.023,7.90E+02
8.76E-01,7.20E+19,8.93E+18,382.152,7.05E-01,8.77E-01,54106.22,-1770,-907,75200,-1.97E-03,5.154256,1210.355,72765.75,2.927261,7.35E-03,15237.59,2.20E+17,2434.251,9.94E+02
8.82E-01,7.44E+19,8.78E+18,383.0951,7.10E-01,8.63E-01,53252.02,-1780,-1040,75700,-1.92E-03,6.665712,1275.01,72643.09,3.010262,7.10E-03,15275.16,2.15E+17,3056.912,1.25E+03
8.88E-01,7.68E+19,8.67E+18,385.117,7.15E-01,8.49E-01,52536.98,-1800,-1150,76200,-1.87E-03,8.603318,1342.369,72371.4,3.100451,6.89E-03,15355.74,2.12E+17,3828.598,1.56E+03
8.94E-01,7.96E+19,8.52E+18,386.8953,7.20E-01,8.34E-01,51672.79,-1820,-1320,76900,-1.81E-03,11.07752,1421.552,72179.3,3.199453,6.64E-03,15426.6,2.08E+17,4720.696,1.93E+03
9.01E-01,8.32E+19,8.36E+18,387.8344,7.25E-01,8.20E-01,50731.76,-1840,-1500,77700,-1.76E-03,14.22831,1524.043,71899.03,3.333229,6.40E-03,15464.01,2.04E+17,5800.972,2.37E+03
9.07E-01,8.76E+19,8.23E+18,387.8383,7.30E-01,8.06E-01,49693.34,-1860,-1650,78400,-1.71E-03,18.24148,1653.104,71280.17,3.498115,6.17E-03,15464.13,2.00E+17,7119.832,2.91E+03
9.13E-01,7.38E+19,8.07E+18,389.6076,7.35E-01,7.92E-01,48598.34,-1880,-1840,79200,-1.66E-03,23.32709,1419.716,70622.72,2.968492,5.93E-03,15534.63,1.96E+17,8577.277,3.50E+03
9.19E-01,8.99E+19,7.91E+18,390.0589,7.40E-01,7.78E-01,47203.3,-1900,-2090,80300,-1.61E-03,29.76782,1802.552,70020.23,3.579113,5.69E-03,15552.58,1.92E+17,10279.78,4.20E+03
9.25E-01,9.34E+19,7.78E+18,390.3866,7.45E-01,7.64E-01,45789.47,-1910,-2290,81100,-1.56E-03,37.93946,1945.938,68826.76,3.71155,5.48E-03,15565.62,1.88E+17,12273.24,5.01E+03
9.32E-01,9.69E+19,7.62E+18,391.6812,7.50E-01,7.50E-01,44225.83,-1930,-2530,82200,-1.51E-03,48.2626,2099.14,67811.28,3.840389,5.24E-03,15617.19,1.84E+17,14388.72,5.87E+03
9.38E-01,1.00E+20,7.45E+18,392.0075,7.55E-01,7.35E-01,42282.05,-1950,-2830,83400,-1.47E-03,61.30592,2264.195,66699.49,3.96809,5.02E-03,15630.16,1.80E+17,16700.51,6.82E+03
9.44E-01,1.04E+20,7.32E+18,392.2261,7.60E-01,7.21E-01,40308.78,-1970,-3100,84400,-1.42E-03,77.85107,2436.581,65315.48,4.090407,4.83E-03,15638.84,1.76E+17,19084.52,7.79E+03
9.50E-01,1.06E+20,7.14E+18,391.9605,7.65E-01,7.07E-01,38424.67,-1990,-3430,85600,-1.38E-03,98.78292,2601.497,64594.81,4.202507,4.62E-03,15628.21,1.72E+17,21005.19,8.58E+03
9.57E-01,1.09E+20,7.01E+18,393.0685,7.70E-01,6.93E-01,37088.1,-2010,-3700,86700,-1.33E-03,125.3925,2696.75,64870.38,4.291311,4.45E-03,15672.35,1.68E+17,21829.62,8.91E+03
9.63E-01,1.10E+20,6.83E+18,392.6537,7.75E-01,6.79E-01,35818.01,-2030,-4100,88000,-1.29E-03,159.2655,2680.979,67468.41,4.343836,4.26E-03,15655.76,1.64E+17,20531.59,8.38E+03
9.69E-01,1.10E+20,6.65E+18,392.1291,7.80E-01,6.65E-01,35672.46,-2050,-4500,89400,-1.25E-03,202.4893,2530.032,72920.97,4.353169,4.09E-03,15634.81,1.59E+17,16479.03,6.73E+03
9.75E-01,1.10E+20,6.49E+18,390.9869,7.85E-01,6.51E-01,36701.52,-2060,-4840,90500,-1.21E-03,258.3375,2318.367,80215.88,4.334355,3.94E-03,15589.23,1.55E+17,10284.13,4.20E+03
9.81E-01,1.10E+20,6.31E+18,390.2217,7.90E-01,6.36E-01,37147.17,-2080,-5300,91900,-1.16E-03,331.0361,2157.747,87606.47,4.330104,3.79E-03,15558.68,1.51E+17,4293.53,1.75E+03
9.88E-01,1.11E+20,6.12E+18,389.3162,7.95E-01,6.22E-01,36260.87,-2100,-5840,93400,-1.12E-03,426.0787,2120.507,92569.3,4.390424,3.63E-03,15522.54,1.46E+17,830.7031,3.39E+02
9.94E-01,1.16E+20,5.97E+18,388.3671,8.00E-01,6.08E-01,34796.61,-2110,-6280,94600,-1.09E-03,552.2455,2215.086,94591.71,4.559518,3.50E-03,15484.66,1.42E+17,8.292167,3.39E+00
1,0.00E+00,5.80E+18,387.1722,8.05E-01,5.94E-01,32600,-2130,-6810,96000,3.92E-03,315.0682,-233.5545,96000,3.92E-02,3.39E-03,15436.98,1.38E+17,0.00E+00,0.00E+00
